Week_Ending_Date	National_WVAL
2022-01-01	17.4
2022-01-08	25.18
2022-01-15	23.02
2022-01-22	19.14
2022-01-29	14.22
2022-02-05	9.46
2022-02-12	5.84
2022-02-19	3.73
2022-02-26	2.53
2022-03-05	1.64
2022-03-12	1.39
2022-03-19	1.18
2022-03-26	1.33
2022-04-02	1.25
2022-04-09	1.71
2022-04-16	2.17
2022-04-23	3.2
2022-04-30	3.92
2022-05-07	5.19
2022-05-14	6.15
2022-05-21	7.14
2022-05-28	7.86
2022-06-04	8.03
2022-06-11	7.55
2022-06-18	7.55
2022-06-25	7.84
2022-07-02	8.46
2022-07-09	10.17
2022-07-16	9.76
2022-07-23	10.52
2022-07-30	9.59
2022-08-06	8.6
2022-08-13	7.58
2022-08-20	7.1
2022-08-27	6.9
2022-09-03	6.04
2022-09-10	5.87
2022-09-17	5.2
2022-09-24	4.84
2022-10-01	3.78
2022-10-08	3.56
2022-10-15	3.35
2022-10-22	3.45
2022-10-29	4.01
2022-11-05	4.05
2022-11-12	4.2
2022-11-19	4.78
2022-11-26	5.43
2022-12-03	9.14
2022-12-10	8.74
2022-12-17	9.37
2022-12-24	9.8
2022-12-31	11.27
2023-01-07	8.7
2023-01-14	6.28
2023-01-21	5.99
2023-01-28	5.92
2023-02-04	6.39
2023-02-11	6.45
2023-02-18	6.56
2023-02-25	6.0
2023-03-04	5.23
2023-03-11	4.48
2023-03-18	4.73
2023-03-25	4.51
2023-04-01	3.53
2023-04-08	2.99
2023-04-15	2.84
2023-04-22	2.21
2023-04-29	1.95
2023-05-06	2.08
2023-05-13	1.91
2023-05-20	1.73
2023-05-27	1.53
2023-06-03	1.36
2023-06-10	1.19
2023-06-17	1.21
2023-06-24	1.26
2023-07-01	1.44
2023-07-08	1.74
2023-07-15	2.0
2023-07-22	2.29
2023-07-29	2.78
2023-08-05	3.38
2023-08-12	4.45
2023-08-19	4.72
2023-08-26	5.3
2023-09-02	6.02
2023-09-09	6.79
2023-09-16	5.87
2023-09-23	5.67
2023-09-30	5.35
2023-10-07	4.75
2023-10-14	4.08
2023-10-21	4.25
2023-10-28	4.31
2023-11-04	4.67
2023-11-11	5.06
2023-11-18	5.72
2023-11-25	6.17
2023-12-02	7.78
2023-12-09	8.58
2023-12-16	9.86
2023-12-23	12.27
2023-12-30	14.31
2024-01-06	13.65
2024-01-13	11.04
2024-01-20	8.9
2024-01-27	8.86
2024-02-03	7.48
2024-02-10	7.53
2024-02-17	7.28
2024-02-24	6.59
2024-03-02	5.26
2024-03-09	4.25
2024-03-16	3.18
2024-03-23	2.67
2024-03-30	2.54
2024-04-06	2.22
2024-04-13	1.93
2024-04-20	1.63
2024-04-27	1.47
2024-05-04	1.45
2024-05-11	1.52
2024-05-18	1.72
2024-05-25	1.85
2024-06-01	2.08
2024-06-08	2.4
2024-06-15	2.63
2024-06-15	2.63
2024-06-22	3.31
2024-06-22	3.31
2024-06-29	4.15
2024-06-29	4.15
2024-07-06	4.8
2024-07-06	4.8
2024-07-13	5.96
2024-07-13	5.96
2024-07-20	6.76
2024-07-20	6.76
2024-07-27	7.36
2024-07-27	7.36
2024-08-03	8.8
2024-08-03	8.8
2024-08-10	8.87
2024-08-10	8.87
2024-08-17	8.72
2024-08-17	8.72
2024-08-24	8.97
2024-08-24	8.97
2024-08-31	8.66
2024-08-31	8.66
2024-09-07	7.99
2024-09-07	7.99
2024-09-14	7.03
2024-09-14	7.03
2024-09-21	5.51
2024-09-21	5.51
2024-09-28	4.2
2024-09-28	4.2
2024-10-05	2.93
2024-10-05	2.93
2024-10-12	2.37
2024-10-12	2.37
2024-10-19	2.14
2024-10-19	2.14
2024-10-26	2.15
2024-10-26	2.15
2024-11-02	1.97
2024-11-02	1.97
2024-11-09	1.83
2024-11-09	1.83
2024-11-16	1.79
2024-11-16	1.79
2024-11-23	1.95
2024-11-23	1.95
2024-11-30	1.86
2024-11-30	1.86
2024-12-07	2.91
2024-12-07	2.91
2024-12-14	3.6
2024-12-14	3.6
2024-12-21	4.23
2024-12-21	4.23
2024-12-21	4.23
2024-12-28	4.91
2024-12-28	4.91
2024-12-28	4.91
2025-01-04	5.56
2025-01-04	5.56
2025-01-04	5.56
2025-01-11	5.41
2025-01-11	5.41
2025-01-11	5.41
2025-01-18	4.58
2025-01-18	4.58
2025-01-18	4.58
2025-01-25	4.63
2025-01-25	4.63
2025-01-25	4.63
2025-02-01	4.71
2025-02-01	4.71
2025-02-01	4.71
2025-02-08	4.57
2025-02-08	4.57
2025-02-08	4.57
2025-02-15	4.21
2025-02-15	4.21
2025-02-15	4.21
2025-02-22	3.53
2025-02-22	3.53
2025-02-22	3.53
2025-03-01	3.13
2025-03-01	3.13
2025-03-01	3.13
2025-03-08	3.11
2025-03-08	3.11
2025-03-08	3.11
2025-03-15	3.11
2025-03-15	3.11
2025-03-15	3.11
2025-03-22	2.77
2025-03-22	2.77
2025-03-22	2.77
2025-03-29	2.6
2025-03-29	2.6
2025-03-29	2.6
2025-04-05	2.45
2025-04-05	2.45
2025-04-05	2.45
2025-04-12	2.1
2025-04-12	2.1
2025-04-12	2.1
2025-04-19	2.06
2025-04-19	2.06
2025-04-19	2.06
2025-04-26	2.1
2025-04-26	2.1
2025-04-26	2.1
2025-05-03	1.79
2025-05-03	1.79
2025-05-03	1.79
2025-05-03	1.79
2025-05-10	1.68
2025-05-10	1.68
2025-05-10	1.68
2025-05-10	1.68
2025-05-17	1.6
2025-05-17	1.6
2025-05-17	1.6
2025-05-17	1.6
2025-05-24	1.52
2025-05-24	1.52
2025-05-24	1.52
2025-05-24	1.52
2025-05-31	1.51
2025-05-31	1.51
2025-05-31	1.51
2025-05-31	1.51
2025-06-07	1.46
2025-06-07	1.46
2025-06-07	1.46
2025-06-07	1.46
2025-06-14	1.58
2025-06-14	1.58
2025-06-14	1.58
2025-06-14	1.58
