	location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50
0	Gauteng	Delta	0.1704034	0.4897084	0.06191714	0.35070768	0.08706137	0.24989596	0.11916369
1	Gauteng	Omicron BA.1	0.76062393	0.8052082	0.7181902	0.7895066	0.7325694	0.77470005	0.7462753
2	Gauteng	Omicron BA.2	0.9836204	1.0144961	0.9538289	1.003586	0.9645892	0.99371415	0.97395796
3	Gauteng	Omicron BA.4	1.4810498	1.5382783	1.4272355	1.5180814	1.4467404	1.5018662	1.4631159
4	Gauteng	Omicron BA.5	1.3989967	1.6674564	1.1737013	1.564455	1.249728	1.4820936	1.3157207
0	Western Cape Province	Delta	0.8317927	1.195989	0.58597726	1.067716	0.66001046	0.9473119	0.74006754
1	Western Cape Province	Omicron BA.1	0.9826031	1.0307564	0.93814725	1.0137546	0.9522484	0.99891126	0.9668687
2	Western Cape Province	Omicron BA.2	1.385289	1.4173009	1.3537626	1.4058888	1.3651246	1.3957384	1.3745157
3	Western Cape Province	Omicron BA.4	2.089356	2.4013953	1.8127918	2.2902267	1.9106383	2.1936967	1.9891617
4	Western Cape Province	Omicron BA.5	0.14970961	0.6908234	0.034488093	0.3852457	0.058495883	0.24738084	0.089259185
0	Mpumalanga	Omicron BA.1	0.7802454	0.8507974	0.7175471	0.8259428	0.7368996	0.80507606	0.75669557
1	Mpumalanga	Omicron BA.2	1.1405253	1.1827952	1.100302	1.1672587	1.1142676	1.155204	1.1269635
2	Mpumalanga	Omicron BA.4	1.19855	1.4249175	1.001828	1.3432205	1.065696	1.2736793	1.1248205
0	KwaZulu-Natal	Delta	2.2001543	2.5953555	1.8817691	2.4478073	1.9884146	2.3289633	2.090454
1	KwaZulu-Natal	Omicron BA.1	1.9996043	2.114219	1.8952804	2.0736184	1.9310625	2.038344	1.9642063
2	KwaZulu-Natal	Omicron BA.2	2.4356685	2.5137517	2.3581994	2.4861026	2.3857768	2.4619641	2.4082413
3	KwaZulu-Natal	Omicron BA.4	2.4246645	3.7394102	1.5540075	3.2321725	1.7920171	2.832695	2.0652208
4	KwaZulu-Natal	Omicron BA.5	3.3304148	3.5717697	3.0979111	3.487811	3.1827426	3.4135695	3.2540069
